,종별,기관명,전화번호,주소,경도,위도
0,종합병원,서울적십자병원,02-2002-8860,서울특별시 종로구 새문안로 9,126.9672019,37.56676211
1,종합병원,가톨릭대학교 은평성모병원,02-2030-4291,서울특별시 은평구 통일로 1021,126.9161505,37.63360841
2,종합병원,강원대학교병원,033-258-9217,강원특별자치도 춘천시 백령로 156,127.7447997,37.87470196
3,상급종합병원,경북대학교병원,053-200-4501,대구광역시 중구 동덕로 130,128.6043147,35.8662355
4,상급종합병원,단국대의과대학부속병원,041-550-6891,충청남도 천안시 동남구 망향로 201,127.1732754,36.84295215
5,병원,동래성모병원,051-559-8833,부산광역시 동래구 충렬대로 188,129.0801766,35.20326365
6,병원,서울특별시 북부병원,02-2036-0459,서울특별시 중랑구 양원역로 38,127.1076802,37.60439347
7,종합병원,성가롤로병원,061-720-2483,전라남도 순천시 순광로 221,127.5417699,34.9644733
8,종합병원,성애병원,02-840-7342,서울특별시 영등포구 여의대방로53길 22,126.9223673,37.51205045
9,상급종합병원,아주대학교병원,031-219-4106,경기도 수원시 영통구 월드컵로 164,127.0475211,37.27944776
10,상급종합병원,영남대학교병원,053-620-3873,대구광역시 남구 현충로 170,128.5865487,35.84716173
11,종합병원,의료법인한전의료재단한일병원,02-901-3848,서울특별시 도봉구 우이천로 308,127.0290576,37.64668449
12,종합병원,창원 파티마병원,055-270-1115,경상남도 창원시 의창구 창이대로 45,128.6444853,35.23724183
13,상급종합병원,(학)가톨릭대학교서울성모병원,02-2258-8151,서울특별시 서초구 반포대로 222,127.0058628,37.50239181
14,종합병원,광명성애병원,02-2680-7338,경기도 광명시 디지털로 36,126.8716349,37.47321247
15,상급종합병원,대구가톨릭의료원,053-650-4390,대구광역시 남구 두류공원로17길 33,128.5657926,35.8441899
16,상급종합병원,전북대학교병원,063-250-2600,전라북도 전주시 덕진구 건지로 20,127.1411035,35.84788564
17,종합병원,강동성심병원,02-2225-2758,서울특별시 강동구 성안로 150,127.135334,37.53615609
18,상급종합병원,분당서울대학병원,1588-3369,경기도 성남시 분당구 구미로173번길 82,127.1244835,37.35202597
19,상급종합병원,서울아산병원,02-3010-1106,서울특별시 송파구 올림픽로43길 88 (풍납동),127.1095256,37.5251582
20,종합병원,순천향대학교부속서울병원,02-709-9067,서울특별시 용산구 대사관로 59,127.0038785,37.53428021
21,종합병원,여천전남병원,061-690-6152,전라남도 여수시 무선로 95,127.6542294,34.76902617
22,상급종합병원,인하대병원,032-890-2222,인천광역시 중구 인항로 27,126.6341664,37.45885479
23,상급종합병원,중앙대학교병원,02-2356-2356,서울특별시 동작구 흑석로 102,126.96042,37.5060362
24,상급종합병원,충남대학교병원,042-280-8632,대전광역시 중구 문화로 282,127.4153053,36.31684464
25,종합병원,학교법인가톨릭대학교대전성모병원,042-220-9986,대전광역시 중구 대흥로 64,127.4202104,36.32199305
26,종합병원,(학)일송학원 한강성심병원,02-2639-5354,서울특별시 영등포구 버드나루로7길 12,126.9096904,37.52317784
27,요양병원,가은병원,032-621-9222,경기도 부천시 마니로24번길 43-17,126.7688692,37.47745306
28,상급종합병원,가톨릭대학교인천성모병원,032-280-6084,인천광역시 부평구 동수로 56,126.7252054,37.48413154
29,상급종합병원,강릉아산병원,033-610-3148,강원특별자치도 강릉시 사천면 방동길 38,128.8577455,37.81835197
30,상급종합병원,경희대학교병원,02-958-9902,서울특별시 동대문구 경희대로 23,127.0507412,37.59377476
31,상급종합병원,고려대의대부속구로병원,02-2626-1883,서울특별시 구로구 구로동로 148,126.8846396,37.49118118
32,종합병원,고신대학교복음병원,051-990-5258,부산광역시 서구 감천로 262,129.0138836,35.08035099
33,종합병원,구미차병원,054-450-9880,경상북도 구미시 신시로10길 12,128.3407099,36.11460015
34,종합병원,국민건강보험공단일산병원,031-900-3137,경기도 고양시 일산동구 일산로 100,126.793042,37.64547581
35,종합병원,대림성모병원,02-829-9129,서울특별시 영등포구 시흥대로 657,126.9071695,37.49068925
36,요양병원,대전나진요양병원,042-520-6503,대전광역시 서구 갈마로 122,127.3713351,36.34166358
37,종합병원,목포기독병원,061-280-7283,전라남도 목포시 백년대로 303,126.4202278,34.80423716
38,의원,새오름가정의원,031-313-9809,경기도 시흥시 비둘기공원7길 83,126.7922642,37.43930085
39,상급종합병원,서울대학교병원,02-2072-3066,서울특별시 종로구 대학로 101,127.0003985,37.57791378
40,종합병원,서울특별시 보라매병원,02-870-2178,서울특별시 동작구 보라매로5길 20,126.924332,37.49301528
41,종합병원,서울특별시 서울의료원,02-2276-7014,서울특별시 중랑구 신내로 156,127.0991891,37.61309005
42,상급종합병원,순천향대학교부속부천병원,032-621-5806,경기도 부천시 조마루로 170,126.76211,37.49837181
